average_song_duration_in_minitues,average_song_valience,month,year
3.4303587500000003,0.5468999999999998,2009-03,2009
3.674839098532495,0.5820125786163526,2009-04,2009
3.7982559523809525,0.5998596938775517,2009-05,2009
3.8692808333333337,0.5692537500000004,2009-06,2009
4.1027933333333335,0.5777745000000002,2009-07,2009
3.87350376344086,0.5798064516129031,2009-08,2009
3.724820215053763,0.6021870967741936,2009-09,2009
3.721616493955095,0.6016373056994819,2009-10,2009
3.8208607966457024,0.5590754716981133,2009-11,2009
3.9103567708333333,0.531173125,2009-12,2009
3.8042635897435897,0.5461220512820515,2010-01,2010
3.7244422077922077,0.5476525974025974,2010-02,2010
3.630398494623656,0.5313154838709678,2010-03,2010
3.7198748281786944,0.5434329896907215,2010-04,2010
3.8371387500000003,0.5537062500000002,2010-05,2010
3.791180128205128,0.5628499999999999,2010-06,2010
3.6111493127147765,0.5836855670103093,2010-07,2010
3.565866989247312,0.5474709677419355,2010-08,2010
3.6218928125,0.5204537499999997,2010-09,2010
3.6065021150592216,0.5150258883248735,2010-10,2010
3.713767948717949,0.5574749999999998,2010-11,2010
3.749650837520938,0.5259804020100504,2010-12,2010
3.732059599156118,0.5539430379746838,2011-01,2011
3.7601005341880342,0.5482141025641025,2011-02,2011
3.745052004219409,0.5098189873417719,2011-03,2011
3.6834865996649913,0.4992603015075374,2011-04,2011
3.7848877136752135,0.5208974358974359,2011-05,2011
3.867547435897436,0.5300423076923078,2011-06,2011
3.80414537521815,0.5642041884816753,2011-07,2011
3.7868391025641026,0.520505128205128,2011-08,2011
3.786718341708543,0.5157522613065325,2011-09,2011
3.8192542708333335,0.5192218749999997,2011-10,2011
3.7583213541666667,0.45936125000000017,2011-11,2011
3.906553852596315,0.514168341708543,2011-12,2011
3.825590520833333,0.5274149999999999,2012-01,2012
3.844596815286624,0.5359452229299366,2012-02,2012
3.7448289930555556,0.534508854166667,2012-03,2012
3.758392735042735,0.5432903846153846,2012-04,2012
3.6664150641025643,0.54974358974359,2012-05,2012
3.6158510833333333,0.5140150000000002,2012-06,2012
3.808887395833333,0.5189725000000004,2012-07,2012
3.9165279731993303,0.5103316582914577,2012-08,2012
3.8706303797468355,0.5234063291139242,2012-09,2012
3.82066855345912,0.48428742138364816,2012-10,2012
3.7511960636515913,0.4857467336683421,2012-11,2012
3.835075104166667,0.48790125000000045,2012-12,2012
3.606788125,0.521739375,2013-01,2013
3.6598780208333332,0.5417337499999999,2013-02,2013
3.7567385,0.5287775,2013-03,2013
3.7517854430379747,0.5836208860759495,2013-04,2013
3.7773005982905987,0.5679820512820509,2013-05,2013
3.67245664556962,0.5339094936708858,2013-06,2013
3.580032278481013,0.5196974683544303,2013-07,2013
3.731769627749577,0.5507309644670048,2013-08,2013
3.8066566878980894,0.4999999999999999,2013-09,2013
3.8190213541666664,0.47191125000000006,2013-10,2013
3.701392583333333,0.4636525000000001,2013-11,2013
3.869193854166667,0.4349668749999999,2013-12,2013
3.7608200000000003,0.4572084999999998,2014-01,2014
3.7523184375,0.495285625,2014-02,2014
3.654800729166667,0.4876831250000001,2014-03,2014
3.647221770833333,0.4718568750000003,2014-04,2014
3.8652585858585855,0.45658282828282853,2014-05,2014
3.802079569892473,0.4870799999999999,2014-06,2014
3.6710245833333337,0.5677875000000001,2014-07,2014
3.571748979591837,0.585454081632653,2014-08,2014
3.580811363636364,0.5870454545454542,2014-09,2014
3.605122643097643,0.5655797979797976,2014-10,2014
3.5569766877637132,0.537879746835443,2014-11,2014
3.6696603375527426,0.5118037974683545,2014-12,2014
3.615383071553229,0.5676151832460732,2015-01,2015
3.5302160337552744,0.552506329113924,2015-02,2015
3.5603376310272536,0.5032327044025157,2015-03,2015
3.6357115625,0.5145000000000001,2015-04,2015
3.6565159999999994,0.5203150000000001,2015-05,2015
3.6253046121593298,0.5053270440251572,2015-06,2015
3.6012504273504278,0.5037333333333331,2015-07,2015
3.5100636268343814,0.4946251572327046,2015-08,2015
3.5442650843881855,0.49757658227848106,2015-09,2015
3.493071111111111,0.4785953846153845,2015-10,2015
3.5927417721518986,0.4526677215189874,2015-11,2015
3.773838784067086,0.4708616352201258,2015-12,2015
3.719876851851852,0.4791378787878786,2016-01,2016
3.6285823958333334,0.4764075000000001,2016-02,2016
3.6429630208333332,0.49735625,2016-03,2016
3.6345361394557827,0.5452602040816327,2016-04,2016
3.679548602150538,0.5456580645161292,2016-05,2016
3.651599145299145,0.5311538461538464,2016-06,2016
3.6149832478632478,0.5473282051282055,2016-07,2016
3.5423427293064877,0.5511409395973155,2016-08,2016
3.498194736842105,0.5181636842105267,2016-09,2016
3.5326350225225225,0.5136000000000002,2016-10,2016
3.585509271523179,0.5268768211920531,2016-11,2016
3.664421391752577,0.5409432989690726,2016-12,2016
3.5836424145299146,0.5167294871794873,2017-01,2017
3.5811608974358977,0.4964743589743589,2017-02,2017
3.590120618556701,0.4851170103092785,2017-03,2017
3.6128151041666663,0.5028049999999997,2017-04,2017
3.6162617088607596,0.5671145569620252,2017-05,2017
3.538107070707071,0.5839585858585858,2017-06,2017
3.514688034188034,0.5812673076923074,2017-07,2017
3.4254077991452987,0.5843717948717947,2017-08,2017
3.348620583333333,0.5720555,2017-09,2017
3.3936255208333335,0.5059250000000001,2017-10,2017
3.5289404166666665,0.48563624999999977,2017-11,2017
3.6421235343383587,0.5576452261306531,2017-12,2017
3.6334676160337556,0.5153525316455696,2018-01,2018
3.5785134375,0.5101125,2018-02,2018
3.5085908333333338,0.49994699999999975,2018-03,2018
3.5020459375,0.49159624999999985,2018-04,2018
3.5394053125,0.5174399999999998,2018-05,2018
3.486155916666667,0.5169625,2018-06,2018
3.4487794791666664,0.49643,2018-07,2018
3.43757725,0.4732295000000002,2018-08,2018
3.4217847916666666,0.44224625,2018-09,2018
3.2829440251572333,0.4559528301886792,2018-10,2018
3.3256552763819096,0.4412814070351757,2018-11,2018
3.585636770833333,0.54099,2018-12,2018
3.331588229166667,0.4483512499999997,2019-01,2019
3.193900833333333,0.4520024999999997,2019-02,2019
3.2213928087986465,0.49279492385786755,2019-03,2019
3.1181821581196583,0.5100897435897433,2019-04,2019
3.2109218013468013,0.5172121212121208,2019-05,2019
3.3171443736730364,0.5348197452229297,2019-06,2019
3.394274947589098,0.5221874213836478,2019-07,2019
3.4218919217687076,0.5435040816326531,2019-08,2019
3.2825836644591613,0.5592185430463574,2019-09,2019
3.2023751633986928,0.5269575163398694,2019-10,2019
3.202940186125211,0.500230964467005,2019-11,2019
3.4677234177215186,0.5194246835443038,2019-12,2019
3.2930659793814434,0.4718634020618557,2020-01,2020
3.3099487096774194,0.489727741935484,2020-02,2020
3.3337657291666667,0.5269475000000002,2020-03,2020
3.298153854166667,0.5746556250000003,2020-04,2020
3.283973859649123,0.5551252631578948,2020-05,2020
3.1897325806451615,0.585851612903226,2020-06,2020
